"ID","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12"
319,5,4,3,1,2,4,5,3,1,2,3,3
323,4,4,4,4,2,4,5,5,4,4,5,3
312,5,5,2,4,1,4,5,1,5,5,5,2
322,4,4,4,5,3,4,5,4,5,1,5,2
321,5,5,4,5,4,5,5,5,5,5,5,3
318,4,2,2,2,2,4,5,4,4,4,4,2
297,4,3,3,2,2,4,4,4,4,4,3,2
281,4,4,4,4,2,4,5,5,4,5,5,4
286,2,4,2,3,1,2,4,4,2,2,2,3
283,4,4,4,4,2,5,5,4,4,4,4,4
280,5,5,5,5,4,5,5,4,4,1,5,1
287,4,4,2,4,3,4,5,3,5,4,5,5
317,3,3,4,3,4,4,3,2,3,4,3,4
271,5,5,5,5,4,5,5,5,5,5,5,2
311,4,4,4,4,3,4,5,5,5,5,5,4
272,4,2,4,4,2,3,4,4,5,5,4,2
316,5,2,2,2,2,5,5,4,2,2,2,1
270,4,4,4,4,3,4,5,4,4,5,5,4
308,5,5,4,4,4,5,4,5,4,4,4,4
315,4,3,2,2,1,3,2,3,1,3,3,3
298,4,4,4,4,2,4,4,4,4,4,4,4
310,2,2,2,2,2,2,3,3,4,3,2,1
291,4,4,4,4,3,4,4,4,4,4,4,4
268,4,5,4,4,2,4,5,4,4,5,4,4
274,5,3,4,5,3,4,5,5,5,4,5,4
304,4,3,3,4,2,2,3,3,3,4,4,3
303,5,5,5,5,4,5,4,5,5,5,5,3
295,4,4,4,4,5,4,5,4,5,5,5,2
300,4,4,4,4,3,4,5,4,4,5,5,3
293,4,4,4,4,4,4,4,4,5,4,4,4
305,4,5,5,4,3,4,5,3,5,4,5,5
292,4,4,4,4,2,4,2,2,3,4,4,4
302,4,4,5,4,2,4,5,4,5,5,5,4
314,5,5,5,5,4,5,5,5,5,5,5,4
278,2,2,2,2,2,2,2,2,2,2,2,2
306,4,4,5,5,2,4,5,4,5,5,5,4
289,4,4,4,4,2,4,5,2,4,1,5,4
288,2,2,2,2,2,2,4,3,4,4,4,3
273,2,2,2,2,1,2,4,2,2,2,2,1
301,4,4,4,4,4,4,4,4,4,4,4,4
267,4,3,2,1,2,3,4,5,3,2,3,2
294,4,4,4,4,3,4,4,5,5,5,4,3
299,5,5,5,5,4,5,5,5,5,1,5,1
269,5,5,5,5,1,5,5,5,5,5,5,4
279,4,4,4,5,3,4,5,4,4,4,4,3
296,2,2,2,2,2,2,2,2,2,2,2,2
275,4,4,4,4,3,4,4,4,4,4,4,4
282,5,5,5,5,2,5,5,5,5,5,5,5
285,4,3,2,3,2,3,4,3,3,3,2,2
284,4,4,3,3,2,4,3,3,2,2,3,2
