MemberCode,Id,AssignmentStatusCode,MemberId,WorkerAmazonId,Ip,BonusIdx,TotalBonus,AcceptTime,AutoApprovalTime,Deadline,SubmitTime,ApprovalTime,RejectionTime,Duration,PluralityAnswersCorrect,PluralityAnswersIncorrect,WorkerAgreementScore,Score,WorkerPayment,TaskId,Longitude,Latitude,TheGeom,ScheduledTime,StudyDay,WithinDayIndex,EmaStatusCode,TriggerTypeCode,FirstResponseTime,LastResponseTime,LastReminderTime,ErrorMessage,QuestionCode,ExtraJson,HitStatusCode,WaveId,WaveCode,TaskCode,influence,influence__score_raw,influence__score_dichotomous,many_years,many_years__score_raw,many_years__score_dichotomous,q3,q3__score_raw,q3__score_dichotomous,q4,q4__score_raw,q4__score_dichotomous,q5,q5__score_raw,q5__score_dichotomous,q6,q6__score_raw,q6__score_dichotomous,q7,q7__score_raw,q7__score_dichotomous,q8,q8__score_raw,q8__score_dichotomous,q9,q9__score_raw,q9__score_dichotomous,q10,q10__score_raw,q10__score_dichotomous,q11,q11__score_raw,q11__score_dichotomous,q12,q12__score_raw,q12__score_dichotomous,q13,q13__score_raw,q13__score_dichotomous,score_raw,score_dichotomous
a3ju0q3nrm9s7a,319,Submitted,372,A3JU0Q3NRM9S7A,69.146.176.109/32,,0,2015-11-18T22:03:21+0000,,,2015-11-18T22:05:48+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,5,5,1,4,4,1,3,3,0,5,5,1,4,4,1,4,4,1,5,5,1,3,3,0,5,5,1,N/A,,,4,4,1,3,3,0,3,3,0,48,8
a19cb2c4gy4c60,323,Submitted,370,A19CB2C4GY4C60,73.7.95.169/32,,0,2015-11-18T21:58:01+0000,,,2015-11-18T22:01:40+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,4,4,1,2,2,0,2,2,0,4,4,1,4,4,1,5,5,1,5,5,1,2,2,0,Blank,,,2,2,0,1,1,0,3,3,0,38,6
a1vfhuo2ka78dg,312,Submitted,371,A1VFHUO2KA78DG,70.190.203.159/32,,0,2015-11-18T21:48:40+0000,,,2015-11-18T21:58:34+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,5,5,1,5,5,1,4,4,1,2,2,0,5,5,1,4,4,1,5,5,1,1,1,0,1,1,0,"I'm not sure what this box is for. I don't see any instructions.",,,1,1,0,1,1,0,4,4,1,38,7
a8bghkgba8o33,322,Submitted,369,A8BGHKGBA8O33,152.27.33.1/32,,0,2015-11-18T21:55:47+0000,,,2015-11-18T21:57:11+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,4,4,1,2,2,0,1,1,0,3,3,0,4,4,1,5,5,1,4,4,1,1,1,0,N/A,,,5,5,1,1,1,0,4,4,1,38,7
ah3er3ejxhro2,321,Submitted,368,AH3ER3EJXHRO2,172.112.131.228/32,,0,2015-11-18T21:55:20+0000,,,2015-11-18T21:56:55+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,5,5,1,5,5,1,2,2,0,1,1,0,2,2,0,5,5,1,5,5,1,5,5,1,1,1,0,N/A,,,1,1,0,1,1,0,3,3,0,36,5
ayf8b7wjo2yqu,318,Submitted,364,AYF8B7WJO2YQU,104.35.222.34/32,,0,2015-11-18T21:51:50+0000,,,2015-11-18T21:56:40+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,2,2,0,4,4,1,4,4,1,4,4,1,4,4,1,5,5,1,4,4,1,2,2,0,"I cannot see this question",,,2,2,0,2,2,0,4,4,1,41,8
ajw3srvzk05yb,297,Submitted,367,AJW3SRVZK05YB,71.48.147.62/32,,0,2015-11-18T21:52:09+0000,,,2015-11-18T21:53:52+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,3,3,0,3,3,0,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,2,2,0,"No question visible",,,2,2,0,3,3,0,4,4,1,41,7
ak3h5qrarofgp,281,Submitted,322,AK3H5QRAROFGP,173.79.69.2/32,,0,2015-11-18T21:44:43+0000,,,2015-11-18T21:53:42+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,4,4,1,2,2,0,2,2,0,4,4,1,4,4,1,5,5,1,5,5,1,2,2,0,n/a,,,1,1,0,1,1,0,2,2,0,36,6
a3en7w8469uj7v,286,Submitted,366,A3EN7W8469UJ7V,107.201.217.29/32,,0,2015-11-18T21:48:19+0000,,,2015-11-18T21:53:17+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,2,2,0,4,4,1,4,4,1,3,3,0,5,5,1,2,2,0,4,4,1,4,4,1,4,4,1,"cannot read question it doesn't load on google chrome",,,4,4,1,4,4,1,3,3,0,43,8
a18vio909rwy6d,283,Submitted,324,A18VIO909RWY6D,71.14.37.151/32,,0,2015-11-18T21:44:45+0000,,,2015-11-18T21:53:12+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,4,4,1,2,2,0,2,2,0,4,4,1,5,5,1,5,5,1,4,4,1,2,2,0,"There is nothing here",,,2,2,0,2,2,0,2,2,0,38,6
